,id,name,region
178,MEX,Mexique,Amérique latine et Caraïbes
179,MHL,Îles Marshall,Asie de l’Est et Pacifique
180,MIC,Revenu intermédiaire,Agrégats
181,MKD,Macédoine du Nord,Europe et Asie centrale
182,MLI,Mali,Afrique subsaharienne
183,MLT,Malte,Afrique du Nord et Moyen-Orient
184,MMR,Myanmar,Asie de l’Est et Pacifique
185,MNA,Afrique du Nord et Moyen-Orient (hors revenu élevé),Agrégats
186,MNE,Monténégro,Europe et Asie centrale
187,MNG,Mongolie,Asie de l’Est et Pacifique
188,MNP,Mariannes,Asie de l’Est et Pacifique
189,MOZ,Mozambique,Afrique subsaharienne
190,MRT,Mauritanie,Afrique subsaharienne
191,MUS,Maurice,Afrique subsaharienne
192,MWI,Malawi,Afrique subsaharienne
193,MYS,Malaisie,Asie de l’Est et Pacifique
194,NAC,Amérique du Nord,Agrégats
195,NAF,,Agrégats
196,NAM,Namibie,Afrique subsaharienne
197,NCL,Nouvelle-Calédonie,Asie de l’Est et Pacifique
198,NER,Niger,Afrique subsaharienne
199,NGA,Nigéria,Afrique subsaharienne
200,NIC,Nicaragua,Amérique latine et Caraïbes
201,NLD,Pays-Bas,Europe et Asie centrale
202,NOR,Norvège,Europe et Asie centrale
203,NPL,Népal,Asie du Sud
204,NRS,,Agrégats
205,NRU,Nauru,Asie de l’Est et Pacifique
206,NXS,,Agrégats
207,NZL,Nouvelle-Zélande,Asie de l’Est et Pacifique
208,OED,Pays membres de l'OCDE,Agrégats
209,OMN,Oman,Afrique du Nord et Moyen-Orient
210,OSS,Autres petits états,Agrégats
211,PAK,Pakistan,Asie du Sud
212,PAN,Panama,Amérique latine et Caraïbes
213,PER,Pérou,Amérique latine et Caraïbes
214,PHL,Philippines,Asie de l’Est et Pacifique
215,PLW,Palaos,Asie de l’Est et Pacifique
216,PNG,Papouasie-Nouvelle-Guinée,Asie de l’Est et Pacifique
217,POL,Pologne,Europe et Asie centrale
218,PRE,de Pré-dividende démographique,Agrégats
219,PRI,Porto Rico,Amérique latine et Caraïbes
220,PRK,"Corée, République démocratique de",Asie de l’Est et Pacifique
221,PRT,Portugal,Europe et Asie centrale
222,PRY,Paraguay,Amérique latine et Caraïbes
223,PSE,Cisjordanie et Gaza,Afrique du Nord et Moyen-Orient
224,PSS,Petits états insulaires du Pacifique,Agrégats
225,PST,de Post-dividende démographique,Agrégats
226,PYF,Polynésie française,Asie de l’Est et Pacifique
227,QAT,Qatar,Afrique du Nord et Moyen-Orient
228,ROU,Roumanie,Europe et Asie centrale
229,RRS,,Agrégats
230,RUS,Fédération de Russie,Europe et Asie centrale
231,RWA,Rwanda,Afrique subsaharienne
232,SAS,Asie du Sud,Agrégats
233,SAU,Arabie saoudite,Afrique du Nord et Moyen-Orient
234,SDN,Soudan,Afrique subsaharienne
235,SEN,Sénégal,Afrique subsaharienne
236,SGP,Singapour,Asie de l’Est et Pacifique
237,SLB,Îles Salomon,Asie de l’Est et Pacifique
238,SLE,Sierra Leone,Afrique subsaharienne
239,SLV,El Salvador,Amérique latine et Caraïbes
240,SMR,Saint-Marin,Europe et Asie centrale
241,SOM,Somalie,Afrique subsaharienne
242,SRB,Serbie,Europe et Asie centrale
243,SSA,Afrique subsaharienne (hors revenu élevé),Agrégats
244,SSD,Soudan du Sud,Afrique subsaharienne
245,SSF,Afrique subsaharienne,Agrégats
246,SST,Petits états,Agrégats
247,STP,Sao Tomé-et-Principe,Afrique subsaharienne
248,SUR,Suriname,Amérique latine et Caraïbes
249,SVK,République slovaque,Europe et Asie centrale
250,SVN,Slovénie,Europe et Asie centrale
251,SWE,Suède,Europe et Asie centrale
252,SWZ,Eswatini,Afrique subsaharienne
253,SXM,Sint Maarten (Dutch part),Amérique latine et Caraïbes
254,SXZ,,Agrégats
255,SYC,Seychelles,Afrique subsaharienne
256,SYR,République arabe syrienne,Afrique du Nord et Moyen-Orient
257,TCA,Îles Turques-et-Caïques,Amérique latine et Caraïbes
258,TCD,Tchad,Afrique subsaharienne
259,TEA,Asie de l’Est et Pacifique (BIRD et IDA),Agrégats
260,TEC,Europe et Asie centrale (BIRD et IDA),Agrégats
261,TGO,Togo,Afrique subsaharienne
262,THA,Thaïlande,Asie de l’Est et Pacifique
263,TJK,Tadjikistan,Europe et Asie centrale
264,TKM,Turkménistan,Europe et Asie centrale
265,TLA,Amérique latine et Caraïbes (BIRD et IDA),Agrégats
266,TLS,Timor-Leste,Asie de l’Est et Pacifique
267,TMN,Afrique du Nord et Moyen-Orient (BIRD et IDA),Agrégats
268,TON,Tonga,Asie de l’Est et Pacifique
269,TSA,Asie du Sud (BIRD et IDA),Agrégats
270,TSS,Afrique subsaharienne (BIRD et IDA),Agrégats
271,TTO,Trinité-et-Tobago,Amérique latine et Caraïbes
272,TUN,Tunisie,Afrique du Nord et Moyen-Orient
273,TUR,Turquie,Europe et Asie centrale
274,TUV,Tuvalu,Asie de l’Est et Pacifique
275,TWN,"Taiwan, en Chine",Asie de l’Est et Pacifique
276,TZA,Tanzanie,Afrique subsaharienne
277,UGA,Ouganda,Afrique subsaharienne
278,UKR,Ukraine,Europe et Asie centrale
279,UMC,"Revenu intermédiaire, tranche supérieure",Agrégats
280,URY,Uruguay,Amérique latine et Caraïbes
281,USA,États-Unis,Amérique du Nord
282,UZB,Ouzbékistan,Europe et Asie centrale
283,VCT,Saint-Vincent-et-les Grenadines,Amérique latine et Caraïbes
284,VEN,Venezuela,Amérique latine et Caraïbes
285,VGB,Îles Vierges britanniques,Amérique latine et Caraïbes
286,VIR,Îles Vierges (EU),Amérique latine et Caraïbes
287,VNM,Viet Nam,Asie de l’Est et Pacifique
288,VUT,Vanuatu,Asie de l’Est et Pacifique
289,WLD,Monde,Agrégats
290,WSM,Samoa,Asie de l’Est et Pacifique
291,XKX,Kosovo,Europe et Asie centrale
292,XZN,,Agrégats
293,YEM,"Yémen, Rép. du",Afrique du Nord et Moyen-Orient
294,ZAF,Afrique du Sud,Afrique subsaharienne
295,ZMB,Zambie,Afrique subsaharienne
296,ZWE,Zimbabwe,Afrique subsaharienne
