id,name,region
RWA,Rwanda,Afrique subsaharienne
SAS,Asie du Sud,Agrégats
SAU,Arabie saoudite,Afrique du Nord et Moyen-Orient
SDN,Soudan,Afrique subsaharienne
SEN,Sénégal,Afrique subsaharienne
SGP,Singapour,Asie de l’Est et Pacifique
SLB,Îles Salomon,Asie de l’Est et Pacifique
SLE,Sierra Leone,Afrique subsaharienne
SLV,El Salvador,Amérique latine et Caraïbes
SMR,Saint-Marin,Europe et Asie centrale
SOM,Somalie,Afrique subsaharienne
SRB,Serbie,Europe et Asie centrale
SSA,Afrique subsaharienne (hors revenu élevé),Agrégats
SSD,Soudan du Sud,Afrique subsaharienne
SSF,Afrique subsaharienne,Agrégats
SST,Petits états,Agrégats
STP,Sao Tomé-et-Principe,Afrique subsaharienne
SUR,Suriname,Amérique latine et Caraïbes
SVK,République slovaque,Europe et Asie centrale
SVN,Slovénie,Europe et Asie centrale
SWE,Suède,Europe et Asie centrale
SWZ,Eswatini,Afrique subsaharienne
SXM,Sint Maarten (Dutch part),Amérique latine et Caraïbes
SXZ,,Agrégats
SYC,Seychelles,Afrique subsaharienne
SYR,République arabe syrienne,Afrique du Nord et Moyen-Orient
TCA,Îles Turques-et-Caïques,Amérique latine et Caraïbes
TCD,Tchad,Afrique subsaharienne
TEA,Asie de l’Est et Pacifique (BIRD et IDA),Agrégats
TEC,Europe et Asie centrale (BIRD et IDA),Agrégats
TGO,Togo,Afrique subsaharienne
THA,Thaïlande,Asie de l’Est et Pacifique
TJK,Tadjikistan,Europe et Asie centrale
TKM,Turkménistan,Europe et Asie centrale
TLA,Amérique latine et Caraïbes (BIRD et IDA),Agrégats
TLS,Timor-Leste,Asie de l’Est et Pacifique
TMN,Afrique du Nord et Moyen-Orient (BIRD et IDA),Agrégats
TON,Tonga,Asie de l’Est et Pacifique
TSA,Asie du Sud (BIRD et IDA),Agrégats
TSS,Afrique subsaharienne (BIRD et IDA),Agrégats
TTO,Trinité-et-Tobago,Amérique latine et Caraïbes
TUN,Tunisie,Afrique du Nord et Moyen-Orient
TUR,Turquie,Europe et Asie centrale
TUV,Tuvalu,Asie de l’Est et Pacifique
TWN,"Taiwan, en Chine",Asie de l’Est et Pacifique
TZA,Tanzanie,Afrique subsaharienne
UGA,Ouganda,Afrique subsaharienne
UKR,Ukraine,Europe et Asie centrale
UMC,"Revenu intermédiaire, tranche supérieure",Agrégats
URY,Uruguay,Amérique latine et Caraïbes
USA,États-Unis,Amérique du Nord
UZB,Ouzbékistan,Europe et Asie centrale
VCT,Saint-Vincent-et-les Grenadines,Amérique latine et Caraïbes
VEN,Venezuela,Amérique latine et Caraïbes
VGB,Îles Vierges britanniques,Amérique latine et Caraïbes
VIR,Îles Vierges (EU),Amérique latine et Caraïbes
VNM,Viet Nam,Asie de l’Est et Pacifique
VUT,Vanuatu,Asie de l’Est et Pacifique
WLD,Monde,Agrégats
WSM,Samoa,Asie de l’Est et Pacifique
XKX,Kosovo,Europe et Asie centrale
XZN,,Agrégats
YEM,"Yémen, Rép. du",Afrique du Nord et Moyen-Orient
ZAF,Afrique du Sud,Afrique subsaharienne
ZMB,Zambie,Afrique subsaharienne
ZWE,Zimbabwe,Afrique subsaharienne
